entity|medicine|cuisine|
achillea-millefolium|x||
acorus-calamus|x||
aesculus-hippocastanum|x||
allium-sativum|x||
aloe-vera|x||
alpinia-officinarum|x||
ammi-visnaga|x||
angelica-sinensis|x||
apium-graveolens|x||
arctium-lappa|x||
artemisia-absinthium|x||
artemisia-annua|x||
astragalus-membranaceus|x||
atropa-belladonna|x||
azadirachta-indica|x||
barosma-betulina|x||
bupleurum-chinense|x||
calendula-officinalis|||
capsicum-annuum|x||
cassia-senna|x||
centella-asiatica|x||
chamomilla-recutita|||
chrysanthemum-morifolium|x||
cimicifuga-racemosa|x||
cinchona-officinalis|x||
cinnamomum-verum|||
citrus-limon|x||
codonopsis-pilosula|x||
coleus-forskohlii|x||
commiphora-molmol|x||
corydalis-yanhusuo|||
crataegus-oxyacantha|x||
crataeva-nurvula|x||
crocus-sativa|||
curcuma-longa|x||
dioscorea-villosa|x||
echinacea-angustifolia|x||
elettaria-cardamomum|||
eleutherococcus-senticosus|x||
ephedra-sinica|x||
eucalyptus-globulus|||
eugenia-caryophyllata|x||
filipendula-ulmaria|||
gentiana-lutea|x||
ginkgo-biloba|||
glycyrrhiza-glabra|||
hamamelis-virginiana|||
harpagophytum-procumbens|||
humulus-lupulus|||
hydrastis-canadensis|||
hypericum-perforatum|||
inula-helenium|||
lavandula-angustifolia|||
linum-usitatissimum|||
lobelia-inflata|||
lycium-chinense|||
melaleuca-alternifolia|||
melissa-officinalis|||
mentha-x-piperita|||
myristica-fragrans|||
ocimum-tenuiflorum|||
paeonia-lactiflora|||
panax-ginseng|||
passiflora-incarnata|||
pelargonium-sidoides|||
persea-americana|||
piper-methysticum|||
plantago-spp|||
polygonum-multiflorum|||
rehmannia-glutinosa|||
rheum-palmatum|||
rhodiola-rosea|||
rosmarinus-officinalis|||
salix-alba|||
salvia-miltiorrhiza|||
salvia-officinalis|||
sambucus-nigra|||
schisandra-chinensis|||
scutellaria-baicalensis|||
scutellaria-lateriflora|||
serenoa-repens|||
silybum-marianum|||
symphytum-officinale|||
tabebuia-rosea|||
tanacetum-parthenium|||
taraxacum-officinale|||
terminalia-arjuna|||
thymus-vulgaris|||
turnera-diffusa|||
ulmus-rubra|||
urtica-dioica|||
vaccinium-myrtillus|||
valeriana-officinalis|||
verbena-officinalis|||
viburnum-opulus|||
vitex-agnus-castus|||
withania-somnifera|||
zanthoxylum-americanum|||
zea-mays|||
zingiber-officinale|||